"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024/2025","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953297","2.7","2768","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953298","2.8","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","2587","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","2524","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","2717","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","2650","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953299","2.9","3022","","","","0"
