"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024/2025","Newfoundland and Labrador","2016A000210","Business, management and public administration","Constant dollars","370","units","0","v1411953789","2.7","3563","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Executive MBA","Constant dollars","370","units","0","v1411953790","2.8","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","3772","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","3631","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Regular MBA","Constant dollars","370","units","0","v1411953791","2.9","3563","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","5161","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","4967","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Physical and life sciences and technologies","Constant dollars","370","units","0","v1411953792","2.10","4874","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","5161","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","4967","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Mathematics, computer and information sciences","Constant dollars","370","units","0","v1411953793","2.11","4874","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","3772","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","3631","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Engineering","Constant dollars","370","units","0","v1411953794","2.12","3563","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Architecture","Constant dollars","370","units","0","v1411953795","2.13","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","5161","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","4967","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Agriculture, natural resources and conservation","Constant dollars","370","units","0","v1411953796","2.14","4874","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Dentistry","Constant dollars","370","units","0","v1411953797","2.15","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Medicine","Constant dollars","370","units","0","v1411953798","2.16","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","5161","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","4967","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Nursing","Constant dollars","370","units","0","v1411953799","2.17","4874","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","3358","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","4276","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","4194","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","4163","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","4833","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","3772","","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","3631","","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Pharmacy","Constant dollars","370","units","0","v1411953800","2.18","3563","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Veterinary medicine","Constant dollars","370","units","0","v1411953801","2.19","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2023/2024","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2024/2025","Newfoundland and Labrador","2016A000210","Optometry","Constant dollars","370","units","0","v1411953802","2.20","","..","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","6515","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","6369","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","6247","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","6201","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","6000","","","","0"
"2022/2023","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Constant dollars","370","units","0","v1411953803","2.21","5619","","","","0"
